id_cliente;genero;idade;bairro;cidade;data_ultima_compra_renner;data_primeira_compra_renner;capital;intervalo_pri_ult_compra;total_compras;compras_ON;compras_OFF;ticket_medio;produtos_diferentes;intervalo_medio;Acessórios;Ashua;Beleza;Feminino;Feminino Jovem;Infantil Feminino;Infantil Masculino;Jeans;Lingerie;Masculino;Masculino Jovem;add_to_cart;add_to_wishlist;purchase;select_item;view_item
1;M;36,0;JARDIM CAMPINAS;SAO PAULO;2024-05-10;2023-10-13;1;210;2;0;2;161,07600000000002;2;105,0;0;0;0;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0
2;F;64,0;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;2024-02-16;2018-05-05;1;2113;1;0;1;61,876;1;0,0;0;0;0;0;0;0;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0
3;F;76,0;RIO BRANCO;PORTO ALEGRE;2024-06-12;2022-07-30;1;683;2;0;2;123,876;2;70,0;0;0;0;1;0;0;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0
4;F;45,0;COSTA E SILVA;JOINVILLE;2024-08-16;2022-12-18;0;607;15;0;15;110,64933333333333;15;24,6;2;0;0;0;1;5;1;0;3;1;2;0,0;0,0;0,0;0,0;0,0
5;F;25,0;JARDIM BELA VISTA;PALMAS;2023-09-07;2022-04-20;1;505;1;1;0;148,67600000000002;1;0,0;0;0;0;0;0;0;0;1;0;0;0;0,0;0,0;0,0;0,0;0,0
6;F;68,0;MENINO DEUS;PORTO ALEGRE;2023-12-23;2022-05-17;1;585;4;0;4;86,7039;4;0,0;0;0;0;0;0;0;2;0;0;0;2;0,0;0,0;0,0;0,0;0,0
7;F;28,0;NOVA BRASILIA;IMBITUBA;2024-07-06;2014-03-22;0;3759;6;4;2;713,1984000000001;6;75,0;0;0;1;0;3;0;0;1;0;0;1;0,0;0,0;0,0;1,0;1,0
8;F;28,0;CENTRO;GUARATUBA;2024-07-17;2017-11-01;0;2450;1;1;0;86,6636;1;0,0;0;0;0;0;0;0;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0
9;F;48,0;ANIL;RIO DE JANEIRO;2023-12-23;2022-05-14;1;588;3;0;3;140,40933333333334;3;84,0;1;0;0;0;0;0;0;0;1;0;1;0,0;0,0;0,0;0,0;0,0
11;F;36,0;PARQUE TECNOLOGICO DAMHA I SAO CARLOS;SAO CARLOS;2024-03-31;2021-05-09;0;1057;27;23;4;653,8524592592593;27;16,14814814814815;1;3;14;0;1;4;1;0;3;0;0;0,0;0,0;0,0;0,0;0,0
12;F;91,0;CENTRO;BARRETOS;2024-05-02;2022-06-09;0;693;1;0;1;173,476;1;0,0;0;0;0;1;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
13;F;53,0;PONTA DA PRAIA;SANTOS;2024-08-09;2022-07-01;0;770;15;1;14;84,33322666666666;15;31,333333333333332;2;0;0;2;2;3;1;0;0;0;5;0,0;0,0;0,0;0,0;0,0
14;F;24,0;VILA LEOPOLDINA;DUQUE DE CAXIAS;2024-05-10;2022-05-12;0;729;2;0;2;148,676;2;88,5;0;0;0;0;0;0;0;2;0;0;0;0,0;0,0;0,0;0,0;0,0
16;F;23,0;CENTRO;IVAIPORA;2024-07-16;2021-06-04;0;1138;2;0;2;68,076;2;0,0;0;0;0;0;0;1;0;0;1;0;0;0,0;0,0;0,0;0,0;0,0
17;F;29,0;GRAGOATA;NITEROI;2024-06-03;2020-02-18;0;1567;1;1;0;100,3284;1;0,0;0;0;0;0;0;0;0;0;0;1;0;1,0;0,0;0,0;1,0;2,0
18;F;43,0;FLORES;MANAUS;2024-08-10;2015-01-19;1;3491;25;9;16;144,195136;25;22,92;3;0;1;0;0;8;12;1;0;0;0;0,0;0,0;0,0;0,0;1,0
19;F;32,0;CAMPO GRANDE;RIO DE JANEIRO;2024-06-17;2021-09-27;1;994;6;0;6;134,20933333333332;6;31,666666666666668;0;0;0;0;3;0;0;1;2;0;0;0,0;0,0;0,0;0,0;0,0
20;F;40,0;ITANHANGA;RIO DE JANEIRO;2023-10-10;2022-05-25;1;503;2;0;2;74,276;2;61,0;0;0;1;0;0;0;0;0;0;0;1;0,0;0,0;0,0;0,0;0,0
22;F;38,0;JARDIM SAO JOAO (ZONA NORTE);SAO PAULO;2024-08-16;2021-06-13;1;1160;18;16;2;709,7415555555556;18;32,94444444444444;1;0;0;0;5;0;1;4;4;0;3;0,0;0,0;0,0;0,0;0,0
27;F;47,0;BOEHMERWALD;JOINVILLE;2023-11-23;2019-05-21;0;1647;3;1;2;117,75866666666666;3;46,0;0;0;0;0;0;0;0;0;0;1;2;0,0;0,0;0,0;0,0;0,0
29;F;48,0;MONTE SERRAT;SALVADOR;2024-08-25;2022-05-19;1;829;18;0;18;130,6271111111111;18;21,11111111111111;1;0;0;7;0;4;2;2;0;2;0;0,0;0,0;0,0;0,0;0,0
31;F;49,0;VILA CASCATINHA;SAO VICENTE;2023-10-17;2023-10-03;0;14;1;0;1;247,876;1;0,0;0;0;0;1;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0
32;F;67,0;APARECIDA;SANTOS;2024-07-07;2013-08-19;0;3975;9;9;0;280,12013333333334;9;44,333333333333336;0;0;0;1;0;0;0;0;3;0;5;4,0;2,0;0,0;21,0;33,0
33;M;23,0;JARDIM ESPERANCA;GUARATINGUETA;2023-04-25;2019-12-09;0;1233;1;1;0;115,8284;1;0,0;0;0;0;0;0;0;0;0;0;0;1;0,0;0,0;0,0;0,0;0,0
34;M;32,0;PAVAO;PANAMBI;2024-04-08;2022-07-09;0;639;3;0;3;190,00933333333333;3;0,0;0;0;0;0;0;0;0;0;0;1;2;0,0;0,0;0,0;0,0;0,0
